feature_id	feature_family	feature_name	n_genes_defined	n_genes_present	genes_present	view	cohort
Reactome::RUNX2 regulates bone development	Reactome	RUNX2 regulates bone development	31	23	ABL1;AR;BGLAP;CBFB;COL1A1;HDAC3;HDAC4;HDAC6;HES1;HEY1;MAF;MAPK1;MAPK3;RB1;RBM14;RUNX2;SATB2;SMAD1;SMAD4;SRC;WWTR1;YES1;ZNF521	BLD	discovery
Reactome::RUNX2 regulates osteoblast differentiation	Reactome	RUNX2 regulates osteoblast differentiation	24	19	ABL1;AR;BGLAP;CBFB;COL1A1;HDAC3;HDAC6;HES1;HEY1;MAF;MAPK1;MAPK3;RB1;RUNX2;SATB2;SRC;WWTR1;YES1;ZNF521	BLD	discovery
Reactome::RUNX3 regulates NOTCH signaling	Reactome	RUNX3 regulates NOTCH signaling	14	14	CREBBP;EP300;HES1;JAG1;KAT2A;KAT2B;MAML1;MAML2;MAML3;MAMLD1;NOTCH1;RBPJ;RUNX3;SNW1	BLD	discovery
Reactome::RUNX3 regulates p14-ARF	Reactome	RUNX3 regulates p14-ARF	10	10	BRD2;CBFB;CCND1;CDKN2A;EP300;HDAC4;KRAS;RUNX1;RUNX3;TGFB1	BLD	discovery
Reactome::Rab regulation of trafficking	Reactome	Rab regulation of trafficking	123	122	AKT1;AKT2;AKT3;ALS2;ALS2CL;ANKRD27;ARF6;CCZ1;CCZ1B;CHM;CHML;DENND1A;DENND1B;DENND1C;DENND2A;DENND2B;DENND2C;DENND2D;DENND3;DENND4A;DENND4B;DENND4C;DENND5A;DENND5B;DENND6A;DENND6B;GABARAP;GABARAPL2;GAPVD1;GDI1;GDI2;GGA1;GGA2;GGA3;HPS1;HPS4;MADD;MAP1LC3B;MON1A;MON1B;OPTN;POLG;RAB10;RAB11A;RAB11B;RAB12;RAB13;RAB14;RAB18;RAB1A;RAB1B;RAB21;RAB27A;RAB27B;RAB31;RAB32;RAB33A;RAB33B;RAB35;RAB38;RAB39A;RAB39B;RAB3A;RAB3GAP1;RAB3GAP2;RAB3IL1;RAB3IP;RAB4A;RAB5A;RAB5B;RAB5C;RAB6A;RAB6B;RAB7A;RAB8A;RAB8B;RAB9A;RAB9B;RABEP1;RABGAP1;RABGEF1;RGP1;RIC1;RIN1;RIN2;RIN3;RINL;SBF1;SBF2;SYTL1;TBC1D10A;TBC1D10B;TBC1D10C;TBC1D13;TBC1D14;TBC1D15;TBC1D16;TBC1D17;TBC1D2;TBC1D20;TBC1D24;TBC1D25;TBC1D3;TBC1D7;TRAPPC1;TRAPPC10;TRAPPC11;TRAPPC12;TRAPPC13;TRAPPC2;TRAPPC2L;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC6A;TRAPPC6B;TRAPPC8;TRAPPC9;TSC1;TSC2;ULK1;YWHAE	BLD	discovery
Reactome::Rap1 signalling	Reactome	Rap1 signalling	16	15	PRKACA;PRKACB;PRKG1;RAF1;RAP1A;RAP1B;RAP1GAP;RAP1GAP2;RAPGEF3;RAPGEF4;RASGRP1;RASGRP2;SIPA1;YWHAB;YWHAZ	BLD	discovery
Reactome::Ras activation upon Ca2+ influx through NMDA receptor	Reactome	Ras activation upon Ca2+ influx through NMDA receptor	20	17	CALM1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;DLG1;DLG2;DLG3;DLG4;GRIN2D;HRAS;KRAS;LRRC7;NEFL;NRAS;RASGRF1;RASGRF2	BLD	discovery
Reactome::Reactions specific to the complex N-glycan synthesis pathway	Reactome	Reactions specific to the complex N-glycan synthesis pathway	10	7	CHST10;FUCA1;FUT3;FUT8;MAN2A1;MAN2A2;MGAT2	BLD	discovery
Reactome::Receptor Mediated Mitophagy	Reactome	Receptor Mediated Mitophagy	11	11	ATG12;ATG5;CSNK2A1;CSNK2A2;CSNK2B;FUNDC1;MAP1LC3A;MAP1LC3B;PGAM5;SRC;ULK1	BLD	discovery
Reactome::Receptor-type tyrosine-protein phosphatases	Reactome	Receptor-type tyrosine-protein phosphatases	20	12	IL1RAP;NTRK3;PPFIA1;PPFIA3;PPFIA4;PPFIBP1;PPFIBP2;PTPRF;PTPRS;SLITRK2;SLITRK4;SLITRK5	BLD	discovery
Reactome::Recognition and association of DNA glycosylase with site containing an affected purine	Reactome	Recognition and association of DNA glycosylase with site containing an affected purine	36	24	ACD;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;MPG;MUTYH;NEIL3;OGG1;POT1;TERF1;TERF2;TERF2IP;TINF2	BLD	discovery
Reactome::Recognition and association of DNA glycosylase with site containing an affected pyrimidine	Reactome	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	41	29	ACD;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;MBD4;NEIL1;NEIL2;NEIL3;NTHL1;OGG1;POT1;SMUG1;TDG;TERF1;TERF2;TERF2IP;TINF2;UNG	BLD	discovery
Reactome::Recognition of DNA damage by PCNA-containing replication complex	Reactome	Recognition of DNA damage by PCNA-containing replication complex	30	30	CUL4A;CUL4B;DDB1;DTL;PCNA;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;RAD18;RBX1;RFC1;RFC2;RFC3;RFC4;RFC5;RPA1;RPA2;RPA3;RPS27A;UBA52;UBB;UBC;UBE2B;USP1;WDR48	BLD	discovery
Reactome::Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	61	52	ABL1;ABRAXAS1;APBB1;ATM;BABAM1;BABAM2;BAP1;BARD1;BAZ1B;BRCA1;BRCC3;CHEK2;EYA1;EYA3;H2AX;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;HERC2;KAT5;KDM4A;KDM4B;MAPK8;MDC1;MRE11;NBN;NSD2;PHF6;PIAS4;PPP5C;RAD50;RNF168;RNF8;RPS27A;SMARCA5;SUMO1;TP53;TP53BP1;UBA52;UBB;UBC;UBE2I;UBE2N;UBE2V2;UBXN1;UIMC1	BLD	discovery
Reactome::Recruitment of NuMA to mitotic centrosomes	Reactome	Recruitment of NuMA to mitotic centrosomes	95	87	ACTR1A;AKAP9;ALMS1;CCP110;CDK1;CDK5RAP2;CEP131;CEP135;CEP152;CEP164;CEP192;CEP250;CEP290;CEP41;CEP43;CEP57;CEP63;CEP70;CEP72;CEP76;CEP78;CETN2;CKAP5;CLASP1;CNTRL;CSNK1D;CSNK1E;DCTN1;DCTN2;DCTN3;DYNC1H1;DYNC1I2;DYNLL1;HAUS1;HAUS2;HAUS3;HAUS4;HAUS5;HAUS6;HAUS7;HAUS8;HSP90AA1;MAPRE1;MZT1;MZT2A;MZT2B;NDE1;NEDD1;NEK2;NINL;NME7;NUMA1;ODF2;OFD1;PAFAH1B1;PCM1;PCNT;PLK1;PLK4;PPP2R1A;PRKACA;PRKAR2B;SDCCAG8;SFI1;SSNA1;TUBA1A;TUBA1B;TUBA1C;TUBA3D;TUBA4A;TUBA8;TUBB;TUBB1;TUBB2A;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBG1;TUBG2;TUBGCP2;TUBGCP3;TUBGCP4;TUBGCP5;TUBGCP6;YWHAE;YWHAG	BLD	discovery
Reactome::Recruitment of mitotic centrosome proteins and complexes	Reactome	Recruitment of mitotic centrosome proteins and complexes	81	80	ACTR1A;AKAP9;ALMS1;CCP110;CDK1;CDK11A;CDK11B;CDK5RAP2;CEP131;CEP135;CEP152;CEP164;CEP192;CEP250;CEP290;CEP41;CEP43;CEP57;CEP63;CEP70;CEP72;CEP76;CEP78;CETN2;CKAP5;CLASP1;CNTRL;CSNK1D;CSNK1E;DCTN1;DCTN2;DCTN3;DYNC1H1;DYNC1I2;DYNLL1;HAUS1;HAUS2;HAUS3;HAUS4;HAUS5;HAUS6;HAUS7;HAUS8;HSP90AA1;MAPRE1;MZT1;MZT2A;MZT2B;NDE1;NEDD1;NEK2;NINL;NME7;ODF2;OFD1;PAFAH1B1;PCM1;PCNT;PLK1;PLK4;PPP2R1A;PRKACA;PRKAR2B;SDCCAG8;SFI1;SSNA1;TUBA1A;TUBA4A;TUBB;TUBB4A;TUBB4B;TUBG1;TUBG2;TUBGCP2;TUBGCP3;TUBGCP4;TUBGCP5;TUBGCP6;YWHAE;YWHAG	BLD	discovery
Reactome::Recycling of bile acids and salts	Reactome	Recycling of bile acids and salts	18	10	ABCC3;FABP6;NCOA1;NCOA2;RXRA;SLC10A1;SLC27A5;SLC51A;SLCO1A2;STARD5	BLD	discovery
Reactome::Recycling pathway of L1	Reactome	Recycling pathway of L1	49	40	ACTB;ACTG1;AP2A1;AP2A2;AP2B1;AP2M1;AP2S1;CLTA;CLTC;DNM1;DNM2;DNM3;DPYSL2;EZR;KIF4A;L1CAM;MAPK1;MSN;NUMB;RDX;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KA6;SHTN1;SRC;TUBA1A;TUBA1B;TUBA1C;TUBA3D;TUBA4A;TUBA8;TUBB1;TUBB2A;TUBB3;TUBB4A;TUBB4B;TUBB6	BLD	discovery
Reactome::Reduction of cytosolic Ca++ levels	Reactome	Reduction of cytosolic Ca++ levels	12	9	ATP2A1;ATP2A2;ATP2A3;ATP2B1;ATP2B4;CALM1;SLC8A1;SLC8A3;SRI	BLD	discovery
Reactome::Regulated Necrosis	Reactome	Regulated Necrosis	61	58	BAK1;BAX;BIRC2;BIRC3;CASP1;CASP3;CASP4;CASP5;CASP8;CDC37;CFLAR;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7;CYCS;ELANE;FADD;FAS;FASLG;FLOT1;FLOT2;GSDMD;GSDME;GZMB;HMGB1;HSP90AA1;IL18;IL1B;IRF1;IRF2;ITCH;MLKL;OGT;PDCD6IP;PELI1;PRKN;RIPK1;RIPK3;RPS27A;SDCBP;STUB1;TNFRSF10A;TNFRSF10B;TNFSF10;TP53;TP63;TRADD;TRAF2;UBA52;UBB;UBC;UBE2L3;XIAP	BLD	discovery
Reactome::Regulated proteolysis of p75NTR	Reactome	Regulated proteolysis of p75NTR	11	10	ADAM17;APH1A;APH1B;NCSTN;NFKB1;PSEN1;PSEN2;PSENEN;RELA;TRAF6	BLD	discovery
Reactome::Regulation by c-FLIP	Reactome	Regulation by c-FLIP	11	11	CASP8;CFLAR;FADD;FAS;FASLG;RIPK1;TNFRSF10A;TNFRSF10B;TNFSF10;TRADD;TRAF2	BLD	discovery
Reactome::Regulation of APC/C activators between G1/S and early anaphase	Reactome	Regulation of APC/C activators between G1/S and early anaphase	68	67	ADRM1;ANAPC1;ANAPC10;ANAPC11;ANAPC15;ANAPC16;ANAPC2;ANAPC4;ANAPC5;ANAPC7;BTRC;BUB1B;BUB3;CCNA2;CCNB1;CDC16;CDC20;CDC23;CDC26;CDC27;CDK1;CDK2;CUL1;FBXO5;FZR1;MAD2L1;PLK1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RPS27A;SEM1;SKP1;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1;UBE2S	BLD	discovery
Reactome::Regulation of Apoptosis	Reactome	Regulation of Apoptosis	40	40	ADRM1;ARHGAP10;OMA1;OPA1;PAK2;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RPS27A;SEM1;UBA52;UBB;UBC	BLD	discovery
Reactome::Regulation of BACH1 activity	Reactome	Regulation of BACH1 activity	16	11	BACH1;CUL1;FBXL17;MAFK;RBX1;RPS27A;SKP1;SKP2;UBA52;UBB;UBC	BLD	discovery
Reactome::Regulation of CDH1 Expression and Function	Reactome	Regulation of CDH1 Expression and Function	176	148	ACTA1;ACTA2;ACTB;ACTG1;ACTG2;ADRM1;AGO1;AGO2;AGO3;AGO4;ANK3;ARHGAP32;ARID1A;BANP;CANX;CBLL1;CDH1;CSNK2A1;CSNK2A2;CSNK2B;CTBP1;CTBP2;CTNNA1;CTNNB1;CTNND1;CTSB;CTSL;CTSS;DAD1;DDOST;DNM2;DNTTIP1;EED;EPS15;EZH2;FOXJ2;FOXP2;FURIN;FYN;GANAB;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;H3-3A;H3C15;HDAC1;HDAC2;JUP;KDM1A;KLF4;KLF9;KMT5A;MAPK1;MAPK3;MCRIP1;MDM2;MOGS;MOV10;MPHOSPH8;MTBP;MYC;OST4;OSTC;PCSK6;PCSK7;PIP5K1C;PKM;POMT1;POMT2;PRKCSH;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RACK1;RB1;RBBP4;RBBP7;RPN1;RPN2;RPS27A;SEC11A;SEC11C;SEM1;SIRT1;SMARCA4;SP1;SPCS1;SPCS2;SPCS3;SRC;STRAP;STT3A;SUZ12;TCF12;TCF3;TGIF2;TLE1;TMEM258;TNRC6A;TNRC6B;TNRC6C;UBA52;UBB;UBC;VCL;ZBTB33;ZEB1;ZEB2;ZMYM2;ZNF217	BLD	discovery
Reactome::Regulation of CDH1 Function	Reactome	Regulation of CDH1 Function	61	59	ACTA1;ACTA2;ACTB;ACTG1;ACTG2;ADRM1;BANP;CBLL1;CDH1;CTNNA1;CTNNB1;CTNND1;CTSB;CTSL;CTSS;DNM2;EPS15;FYN;JUP;MDM2;MTBP;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RACK1;RPS27A;SEM1;SRC;UBA52;UBB;UBC;VCL	BLD	discovery
Reactome::Regulation of CDH1 Gene Transcription	Reactome	Regulation of CDH1 Gene Transcription	73	53	ARID1A;CDH1;CTBP1;CTBP2;DNTTIP1;EED;EZH2;FOXJ2;FOXP2;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;H3-3A;H3C15;HDAC1;HDAC2;KDM1A;KLF4;KLF9;KMT5A;MAPK1;MAPK3;MCRIP1;MPHOSPH8;PKM;RB1;RBBP4;RBBP7;SIRT1;SMARCA4;SP1;STRAP;SUZ12;TCF12;TCF3;TGIF2;TLE1;ZBTB33;ZEB1;ZEB2;ZMYM2;ZNF217	BLD	discovery
Reactome::Regulation of CDH1 mRNA translation by microRNAs	Reactome	Regulation of CDH1 mRNA translation by microRNAs	15	10	AGO1;AGO2;AGO3;AGO4;CDH1;MOV10;MYC;TNRC6A;TNRC6B;TNRC6C	BLD	discovery
Reactome::Regulation of CDH1 posttranslational processing and trafficking to plasma membrane	Reactome	Regulation of CDH1 posttranslational processing and trafficking to plasma membrane	32	31	ANK3;ARHGAP32;CANX;CDH1;CSNK2A1;CSNK2A2;CSNK2B;CTNNB1;DAD1;DDOST;FURIN;GANAB;JUP;MOGS;OST4;OSTC;PCSK6;PCSK7;PIP5K1C;POMT1;POMT2;PRKCSH;RPN1;RPN2;SEC11A;SEC11C;SPCS1;SPCS2;SPCS3;STT3A;TMEM258	BLD	discovery
Reactome::Regulation of CDH11 Expression and Function	Reactome	Regulation of CDH11 Expression and Function	30	23	ADAM19;ADAM33;AGO1;AGO2;AGO3;AGO4;AMOT;ANGPTL4;CDH11;CDH24;CDH8;CTNNA1;CTNNB1;CTNND1;ILF3;JUP;MOV10;PRDM8;SP1;TNRC6A;TNRC6B;TNRC6C;ZEB2	BLD	discovery
Reactome::Regulation of CDH11 function	Reactome	Regulation of CDH11 function	11	11	ADAM19;ADAM33;AMOT;ANGPTL4;CDH11;CDH24;CDH8;CTNNA1;CTNNB1;CTNND1;JUP	BLD	discovery
Reactome::Regulation of CDH11 gene transcription	Reactome	Regulation of CDH11 gene transcription	10	5	CDH11;ILF3;PRDM8;SP1;ZEB2	BLD	discovery
Reactome::Regulation of CDH11 mRNA translation by microRNAs	Reactome	Regulation of CDH11 mRNA translation by microRNAs	11	9	AGO1;AGO2;AGO3;AGO4;CDH11;MOV10;TNRC6A;TNRC6B;TNRC6C	BLD	discovery
Reactome::Regulation of Complement cascade	Reactome	Regulation of Complement cascade	128	93	C1QA;C1QB;C1QC;C1R;C1S;C2;C3;C3AR1;C4A;C4B;C4BPA;C4BPB;C5;C5AR1;C5AR2;CD19;CD46;CD55;CD59;CD81;CFH;CFHR1;CFI;CFP;CLU;CPN2;CR1;CR2;ELANE;IGHG1;IGHG2;IGHG3;IGHG4;IGHV1-2;IGHV1-46;IGHV1-69;IGHV2-5;IGHV2-70;IGHV3-11;IGHV3-23;IGHV3-30;IGHV3-33;IGHV3-48;IGHV3-53;IGHV3-7;IGHV4-34;IGHV4-39;IGHV4-59;IGKC;IGKV1-12;IGKV1-16;IGKV1-17;IGKV1-33;IGKV1-5;IGKV1D-12;IGKV1D-16;IGKV1D-39;IGKV2-28;IGKV2-30;IGKV2D-28;IGKV3-11;IGKV3-15;IGKV3-20;IGKV3D-20;IGKV4-1;IGLC1;IGLC2;IGLC3;IGLC7;IGLV1-40;IGLV1-47;IGLV1-51;IGLV10-54;IGLV2-11;IGLV2-14;IGLV2-18;IGLV2-23;IGLV2-8;IGLV3-1;IGLV3-12;IGLV3-19;IGLV3-21;IGLV3-25;IGLV3-27;IGLV4-60;IGLV4-69;IGLV6-57;IGLV7-43;IGLV7-46;IGLV8-61;PROS1;SERPING1;VTN	BLD	discovery
Reactome::Regulation of Expression and Function of Type I Classical Cadherins	Reactome	Regulation of Expression and Function of Type I Classical Cadherins	176	148	ACTA1;ACTA2;ACTB;ACTG1;ACTG2;ADRM1;AGO1;AGO2;AGO3;AGO4;ANK3;ARHGAP32;ARID1A;BANP;CANX;CBLL1;CDH1;CSNK2A1;CSNK2A2;CSNK2B;CTBP1;CTBP2;CTNNA1;CTNNB1;CTNND1;CTSB;CTSL;CTSS;DAD1;DDOST;DNM2;DNTTIP1;EED;EPS15;EZH2;FOXJ2;FOXP2;FURIN;FYN;GANAB;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;H3-3A;H3C15;HDAC1;HDAC2;JUP;KDM1A;KLF4;KLF9;KMT5A;MAPK1;MAPK3;MCRIP1;MDM2;MOGS;MOV10;MPHOSPH8;MTBP;MYC;OST4;OSTC;PCSK6;PCSK7;PIP5K1C;PKM;POMT1;POMT2;PRKCSH;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RACK1;RB1;RBBP4;RBBP7;RPN1;RPN2;RPS27A;SEC11A;SEC11C;SEM1;SIRT1;SMARCA4;SP1;SPCS1;SPCS2;SPCS3;SRC;STRAP;STT3A;SUZ12;TCF12;TCF3;TGIF2;TLE1;TMEM258;TNRC6A;TNRC6B;TNRC6C;UBA52;UBB;UBC;VCL;ZBTB33;ZEB1;ZEB2;ZMYM2;ZNF217	BLD	discovery
Reactome::Regulation of Expression and Function of Type II Classical Cadherins	Reactome	Regulation of Expression and Function of Type II Classical Cadherins	33	26	ADAM19;ADAM33;AGO1;AGO2;AGO3;AGO4;AMOT;ANGPTL4;CDH11;CDH19;CDH24;CDH8;CTNNA1;CTNNB1;CTNND1;ILF3;JUP;MOV10;PRDM8;SOX10;SP1;TNRC6A;TNRC6B;TNRC6C;ZC3H12A;ZEB2	BLD	discovery
Reactome::Regulation of FOXO transcriptional activity by acetylation	Reactome	Regulation of FOXO transcriptional activity by acetylation	10	10	CREBBP;EP300;FOXO1;FOXO3;FOXO4;KAT2B;SIRT1;SIRT3;TXN;TXNIP	BLD	discovery
Reactome::Regulation of FZD by ubiquitination	Reactome	Regulation of FZD by ubiquitination	21	14	FZD4;FZD5;FZD6;LGR4;LGR6;LRP5;LRP6;RNF43;RPS27A;UBA52;UBB;UBC;USP8;ZNRF3	BLD	discovery
Reactome::Regulation of Glucokinase by Glucokinase Regulatory Protein	Reactome	Regulation of Glucokinase by Glucokinase Regulatory Protein	32	31	AAAS;GCKR;NDC1;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP42;NUP43;NUP50;NUP54;NUP58;NUP62;NUP85;NUP88;NUP93;NUP98;POM121;POM121C;RAE1;RANBP2;SEC13;SEH1L;TPR	BLD	discovery
Reactome::Regulation of HSF1-mediated heat shock response	Reactome	Regulation of HSF1-mediated heat shock response	84	76	AAAS;ATM;ATR;BAG1;BAG2;BAG3;BAG4;BAG5;CCAR2;DEDD2;DNAJB1;DNAJB6;DNAJC2;DNAJC7;FKBP4;GSK3B;HIKESHI;HSF1;HSPA12B;HSPA13;HSPA14;HSPA1A;HSPA1L;HSPA2;HSPA4;HSPA4L;HSPA5;HSPA6;HSPA7;HSPA8;HSPA9;HSPB1;HSPH1;MAPK1;MAPK3;MAPKAPK2;MRPL18;NDC1;NUP107;NUP133;NUP153;NUP155;NUP160;NUP188;NUP205;NUP210;NUP214;NUP35;NUP37;NUP42;NUP43;NUP50;NUP54;NUP58;NUP62;NUP85;NUP88;NUP93;NUP98;POM121;POM121C;RAE1;RANBP2;RPA1;RPA2;RPA3;RPS19BP1;SEC13;SEH1L;SERPINH1;SIRT1;ST13;TNFRSF21;TPR;UBB;YWHAE	BLD	discovery
Reactome::Regulation of Homotypic Cell-Cell Adhesion	Reactome	Regulation of Homotypic Cell-Cell Adhesion	194	160	ACTA1;ACTA2;ACTB;ACTG1;ACTG2;ADAM19;ADAM33;ADRM1;AGO1;AGO2;AGO3;AGO4;AMOT;ANGPTL4;ANK3;ARHGAP32;ARID1A;BANP;CANX;CBLL1;CDH1;CDH11;CDH19;CDH24;CDH8;CSNK2A1;CSNK2A2;CSNK2B;CTBP1;CTBP2;CTNNA1;CTNNB1;CTNND1;CTSB;CTSL;CTSS;DAD1;DDOST;DNM2;DNTTIP1;EED;EPS15;EZH2;FOXJ2;FOXP2;FURIN;FYN;GANAB;H2AC20;H2AC6;H2AJ;H2AX;H2AZ2;H2BC11;H2BC12;H2BC12L;H2BC15;H2BC21;H2BC26;H2BC4;H2BC5;H2BC9;H3-3A;H3C15;HDAC1;HDAC2;ILF3;JUP;KDM1A;KLF4;KLF9;KMT5A;MAPK1;MAPK3;MCRIP1;MDM2;MOGS;MOV10;MPHOSPH8;MTBP;MYC;OST4;OSTC;PCSK6;PCSK7;PIP5K1C;PKM;POMT1;POMT2;PRDM8;PRKCSH;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RACK1;RB1;RBBP4;RBBP7;RPN1;RPN2;RPS27A;SEC11A;SEC11C;SEM1;SIRT1;SMARCA4;SOX10;SP1;SPCS1;SPCS2;SPCS3;SRC;STRAP;STT3A;SUZ12;TCF12;TCF3;TGIF2;TLE1;TMEM258;TNRC6A;TNRC6B;TNRC6C;UBA52;UBB;UBC;VCL;ZBTB33;ZC3H12A;ZEB1;ZEB2;ZMYM2;ZNF217	BLD	discovery
Reactome::Regulation of IFNA/IFNB signaling	Reactome	Regulation of IFNA/IFNB signaling	25	12	IFNAR1;IFNAR2;JAK1;PTPN1;PTPN11;PTPN6;SOCS1;SOCS3;STAT1;STAT2;TYK2;USP18	BLD	discovery
Reactome::Regulation of IFNG signaling	Reactome	Regulation of IFNG signaling	14	14	IFNG;IFNGR1;IFNGR2;JAK1;JAK2;PIAS1;PTPN1;PTPN11;PTPN2;PTPN6;SOCS1;SOCS3;STAT1;SUMO1	BLD	discovery
Reactome::Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	124	81	ADAM10;ANO8;APLP2;APOA2;APOE;APOL1;APP;BMP4;C3;C4A;CALU;CDH2;CHGB;CKAP4;CP;CSF1;CST3;CTSG;DNAJC3;ENAM;F5;FAM20A;FAM20C;FBN1;FGF23;FN1;FSTL1;FSTL3;FUCA2;GAS6;GOLM1;GZMH;HSP90B1;IGF1;IGF2;IGFBP2;IGFBP3;IGFBP4;IGFBP7;ITIH2;KLK1;KLK2;KTN1;LAMB1;LAMB2;LAMC1;LGALS1;LTBP1;MBTPS1;MELTF;MEN1;MFGE8;MGAT4A;MIA3;MXRA8;NUCB1;P4HB;PAPPA;PDIA6;PLG;PNPLA2;PRKCSH;PROC;PRSS23;QSOX1;RCN1;SCG3;SDC2;SERPINA1;SERPINA10;SERPIND1;SHISA5;SPP1;SPP2;TF;TGOLN2;TIMP1;TMEM132A;TNC;VCAN;WFS1	BLD	discovery
Reactome::Regulation of KIT signaling	Reactome	Regulation of KIT signaling	16	15	CBL;FYN;GRB2;KIT;LCK;LYN;PRKCA;PTPN6;SH2B2;SH2B3;SOCS1;SOCS6;SOS1;SRC;YES1	BLD	discovery
Reactome::Regulation of MECP2 expression and activity	Reactome	Regulation of MECP2 expression and activity	32	30	AGO1;AGO2;AGO3;AGO4;AURKB;CALM1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4;CREB1;GPS2;HDAC1;HDAC2;HDAC3;HIPK2;HTT;LBR;MECP2;MOV10;NCOR1;NCOR2;PRKACA;SIN3A;TBL1X;TBL1XR1;TNRC6A;TNRC6B;TNRC6C	BLD	discovery
Reactome::Regulation of MITF-M-dependent genes involved in apoptosis	Reactome	Regulation of MITF-M-dependent genes involved in apoptosis	19	15	AGO1;AGO2;AGO3;AGO4;BCL2;BCL2A1;DICER1;HDAC1;HINT1;MITF;MOV10;SIN3A;TNRC6A;TNRC6B;TNRC6C	BLD	discovery
